year,avg_co2_4cyl,avg_co2_6cyl,avg_co2_8cyl,avg_co2_gpm_overall
1984,404.7409843085261,537.8789020259544,692.5710627043006,497.9328047173256
1985,401.79162726101265,528.1656185985065,683.3732156496119,490.87338956932695
1986,403.6015489951517,526.0390213496654,665.2147704239495,491.60647387932784
1987,408.81253970184486,530.1958691425802,690.3470031891555,498.6026684548228
1988,404.7239215456712,519.7293450572342,667.7212263167521,490.80486555070553
1989,408.5928630704579,529.728622883997,670.9594809351648,497.11433932052915
1990,411.6047908138931,527.9896351388189,663.2395435668217,497.48844442208826
1991,412.4606472829237,528.4285325803302,662.0033703121907,502.0225757412205
1992,408.09308051351155,527.5359563435088,655.9030342002559,501.2143119570059
1993,401.0313218322893,519.5890607879257,648.4703865155436,493.08729378322766
1994,399.2376356932506,511.114804832483,634.9138410986438,490.98246651233944
1995,392.28656314516326,505.80603563485397,635.1104238671061,498.232563905411
1996,388.16651007005606,504.08540384998764,617.0242538451118,478.98874344243774
1997,389.25044898525505,505.04120853554474,612.9938402573027,481.9318472692153
1998,392.42002606880357,500.0716248854725,613.0504300933121,481.18842160656817
1999,391.111669145879,499.1982657789643,612.098781412605,483.8771770977277
2000,393.4684212539817,501.6765689031696,597.199758290494,484.17052398931014
2001,393.8649909052601,503.95645428286184,599.2144056885398,485.45865167340423
2002,391.98898342313555,502.030609070697,605.935953742653,490.4904009276609
2003,390.64125938746525,498.9509827337562,607.1834759091196,495.4376320050498
2004,390.28426823647703,491.6840910038281,591.4281077590099,489.1804559358419
2005,390.85973143788124,489.2869316411571,588.5410223160596,487.03693380175025
2006,395.1722164387559,481.45958304633655,585.4562255542608,491.3122436696569
2007,386.69636470147475,474.42295148149185,581.4291201981017,488.1382502525871
2008,376.55057650268554,469.92844958263254,583.0226660565049,484.7298552260147
2009,371.0229249633407,465.6770992172749,567.0447482270448,473.1265408072618
2010,360.9936331111015,456.03257739166526,556.1074621698019,455.6766414627619
2011,356.25186635579735,447.447048038005,562.9083347479402,453.3794308395215
2012,346.79558916445876,438.2922040462007,557.9206069229633,442.65294475624205
2013,335.4684684684685,431.7798408488064,547.8978102189781,426.9547038327526
2014,329.10244988864144,425.2835820895522,548.9015151515151,421.19250425894376
2015,331.2085020242915,424.08353221957043,531.1111111111111,412.68326530612245
2016,327.26335877862596,426.2665036674817,514.8317757009346,402.450622406639
2017,329.0529197080292,426.08780487804876,517.9857819905213,402.36070853462155
2018,326.8339222614841,423.11034482758623,508.5470852017937,397.9393468118196
2019,326.726148409894,426.6759906759907,513.5474137931035,398.76525821596243
2020,325.23320895522386,419.6294277929155,512.8765957446808,399.0016722408027
2021,327.5215759849906,420.7426035502959,522.1060606060606,403.4683333333333
2022,326.2677902621723,425.7910863509749,529.5853658536586,405.29883138564276
2023,329.59448818897636,427.86756756756756,523.6728971962617,405.00431406384814
2024,331.317494600432,434.88961038961037,531.1834319526628,403.78622087132726
2025,326.14902807775377,420.44444444444446,500.49333333333334,386.32
